epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5180.79,0.61774,0.49059,1.01449,0.92397,0.85893,0.94259,0.84289,0.56972,0.54781,0.99083,0.000167565,0.000167565,0.000167565
81,5244.61,0.6211,0.49138,1.0108,0.92014,0.8644,0.94446,0.84449,0.56877,0.54157,0.98357,0.000159952,0.000159952,0.000159952
82,5308.94,0.61721,0.48685,1.01159,0.93237,0.85731,0.94377,0.84431,0.57251,0.53628,0.98632,0.000152339,0.000152339,0.000152339
83,5374.06,0.60439,0.47056,1.00409,0.92631,0.85732,0.94072,0.84117,0.571,0.53895,0.98272,0.000144726,0.000144726,0.000144726
84,5438.39,0.61061,0.47404,1.00924,0.91486,0.87686,0.94384,0.84458,0.56549,0.54257,0.97924,0.000137113,0.000137113,0.000137113
85,5502.94,0.59907,0.46944,1.00348,0.92577,0.86506,0.94138,0.84595,0.56263,0.54646,0.98426,0.0001295,0.0001295,0.0001295
86,5567.18,0.61502,0.48796,1.00894,0.91431,0.87,0.94157,0.84391,0.56548,0.5476,0.98109,0.000121887,0.000121887,0.000121887
87,5633.03,0.60418,0.47475,1.00424,0.92073,0.87386,0.94397,0.84621,0.56799,0.53772,0.98465,0.000114273,0.000114273,0.000114273
88,5696.78,0.5888,0.45285,1.00117,0.92018,0.87324,0.94448,0.84596,0.56498,0.53771,0.97891,0.00010666,0.00010666,0.00010666
89,5761.14,0.59336,0.46933,1.00153,0.91386,0.87468,0.94332,0.84485,0.56978,0.53375,0.97975,9.90472e-05,9.90472e-05,9.90472e-05
90,5826.78,0.60256,0.46646,1.00249,0.90136,0.88899,0.94561,0.8482,0.56286,0.53877,0.97746,9.14341e-05,9.14341e-05,9.14341e-05
91,5890.98,0.44751,0.29043,0.92404,0.91596,0.8758,0.94272,0.8457,0.57905,0.53903,0.99193,8.3821e-05,8.3821e-05,8.3821e-05
92,5952.03,0.43766,0.27775,0.92205,0.93303,0.86544,0.94066,0.84354,0.57558,0.55437,0.99217,7.62079e-05,7.62079e-05,7.62079e-05
93,6012.43,0.43803,0.27222,0.92366,0.91694,0.86992,0.9417,0.84447,0.56904,0.56818,0.98376,6.85948e-05,6.85948e-05,6.85948e-05
94,6072.13,0.42801,0.25905,0.91902,0.91928,0.87603,0.94279,0.84386,0.56842,0.55688,0.98275,6.09817e-05,6.09817e-05,6.09817e-05
95,6131.73,0.43624,0.2715,0.91946,0.92212,0.87011,0.94211,0.84406,0.56614,0.57209,0.98365,5.33686e-05,5.33686e-05,5.33686e-05
96,6190.96,0.43063,0.26484,0.91771,0.92682,0.86911,0.94209,0.84382,0.57142,0.56151,0.98595,4.57555e-05,4.57555e-05,4.57555e-05
97,6250.28,0.42619,0.25666,0.91064,0.93408,0.86086,0.93998,0.84431,0.56648,0.56166,0.98246,3.81424e-05,3.81424e-05,3.81424e-05
98,6309.56,0.42638,0.25756,0.91589,0.93722,0.86006,0.94226,0.84483,0.56611,0.55556,0.9831,3.05293e-05,3.05293e-05,3.05293e-05
99,6368.83,0.42447,0.25548,0.91345,0.93946,0.85996,0.94292,0.84575,0.56592,0.55546,0.98307,2.29162e-05,2.29162e-05,2.29162e-05
100,6427.56,0.43097,0.25522,0.91448,0.93183,0.86937,0.94216,0.84639,0.56248,0.55978,0.98112,1.53031e-05,1.53031e-05,1.53031e-05
